story_id,title,content,vocab_word,vocab_type,vocab_meaning,thai_translation
1,Morning Routine,"I wake up at 6 AM every day. I brush my teeth and wash my face. Then I eat breakfast with my family. I drink a glass of milk and eat toast with butter. After that, I get dressed and go to school. I always feel happy in the morning.",wake up,phrasal verb,ตื่นนอน,"ฉันตื่นนอนเวลา 6 โมงเช้าทุกวัน ฉันแปรงฟันและล้างหน้า จากนั้นฉันกินอาหารเช้ากับครอบครัว ฉันดื่มนมหนึ่งแก้วและกินขนมปังปิ้งกับเนย หลังจากนั้นฉันแต่งตัวและไปโรงเรียน ฉันรู้สึกมีความสุขในตอนเช้าเสมอ"
1,Morning Routine,"I wake up at 6 AM every day. I brush my teeth and wash my face. Then I eat breakfast with my family. I drink a glass of milk and eat toast with butter. After that, I get dressed and go to school. I always feel happy in the morning.",brush,verb,แปรง,""
1,Morning Routine,"I wake up at 6 AM every day. I brush my teeth and wash my face. Then I eat breakfast with my family. I drink a glass of milk and eat toast with butter. After that, I get dressed and go to school. I always feel happy in the morning.",breakfast,noun,อาหารเช้า,""
2,Going to the Market,My mother and I go to the market every Saturday. The market is big and busy. We buy fresh vegetables and fruits. My mother chooses apples and oranges. I like to carry the shopping bags. We also buy some fish and meat. Then we go home and cook lunch together.,market,noun,ตลาด,"แม่ของฉันและฉันไปตลาดทุกวันเสาร์ ตลาดใหญ่และคึกคัก เราซื้อผักและผลไม้สด แม่ของฉันเลือกแอปเปิ้ลและส้ม ฉันชอบถือถุงช้อปปิ้ง เรายังซื้อปลาและเนื้อสัตว์บางส่วน จากนั้นเรากลับบ้านและทำอาหารกลางวันด้วยกัน"
2,Going to the Market,My mother and I go to the market every Saturday. The market is big and busy. We buy fresh vegetables and fruits. My mother chooses apples and oranges. I like to carry the shopping bags. We also buy some fish and meat. Then we go home and cook lunch together.,fresh,adjective,สด,""
2,Going to the Market,My mother and I go to the market every Saturday. The market is big and busy. We buy fresh vegetables and fruits. My mother chooses apples and oranges. I like to carry the shopping bags. We also buy some fish and meat. Then we go home and cook lunch together.,carry,verb,ถือ/หิ้ว,""
3,My Favorite Hobby,"Reading is my favorite hobby. I like to read storybooks and comics. After school, I sit in my room and read for one hour. I enjoy reading adventure stories. They are exciting and fun. Sometimes I read aloud to practice my English. Reading helps me learn new words every day.",hobby,noun,งานอดิเรก,"การอ่านคืองานอดิเรกที่ฉันชอบ ฉันชอบอ่านหนังสือเรื่องและหนังสือการ์ตูน หลังเลิกเรียน ฉันนั่งในห้องและอ่านหนังสือเป็นเวลาหนึ่งชั่วโมง ฉันสนุกกับการอ่านเรื่องผจญภัย พวกเขาตื่นเต้นและสนุก บางครั้งฉันอ่านออกเสียงเพื่อฝึกภาษาอังกฤษของฉัน การอ่านช่วยให้ฉันเรียนรู้คำศัพท์ใหม่ทุกวัน"
3,My Favorite Hobby,"Reading is my favorite hobby. I like to read storybooks and comics. After school, I sit in my room and read for one hour. I enjoy reading adventure stories. They are exciting and fun. Sometimes I read aloud to practice my English. Reading helps me learn new words every day.",adventure,noun,การผจญภัย,""
3,My Favorite Hobby,"Reading is my favorite hobby. I like to read storybooks and comics. After school, I sit in my room and read for one hour. I enjoy reading adventure stories. They are exciting and fun. Sometimes I read aloud to practice my English. Reading helps me learn new words every day.",aloud,adverb,ออกเสียงดัง,""
4,A Rainy Day,Today is a rainy day. The sky is dark and grey. Raindrops fall on the window. I stay inside and drink hot chocolate. My cat sleeps on my lap. I watch the rain from my window. It is quiet and peaceful. I like rainy days because I can relax and read a book.,rainy,adjective,ฝนตก,"วันนี้เป็นวันที่ฝนตก ท้องฟ้ามืดและเป็นสีเทา หยดฝนตกลงมาบนหน้าต่าง ฉันอยู่ข้างในและดื่มช็อคโกแลตร้อน แมวของฉันนอนบนตักของฉัน ฉันดูฝนจากหน้าต่างของฉัน มันเงียบและสงบ ฉันชอบวันที่ฝนตกเพราะฉันสามารถพักผ่อนและอ่านหนังสือ"
4,A Rainy Day,Today is a rainy day. The sky is dark and grey. Raindrops fall on the window. I stay inside and drink hot chocolate. My cat sleeps on my lap. I watch the rain from my window. It is quiet and peaceful. I like rainy days because I can relax and read a book.,raindrops,noun,หยดฝน,""
4,A Rainy Day,Today is a rainy day. The sky is dark and grey. Raindrops fall on the window. I stay inside and drink hot chocolate. My cat sleeps on my lap. I watch the rain from my window. It is quiet and peaceful. I like rainy days because I can relax and read a book.,peaceful,adjective,สงบ,""
5,My Best Friend,My best friend's name is Tom. He is kind and funny. We go to the same school. We play football together every afternoon. Tom always helps me with my homework. He is good at math and science. I am good at English. We help each other. We are very good friends.,kind,adjective,ใจดี,"เพื่อนสนิทของฉันชื่อทอม เขาเป็นคนใจดีและตลก เราไปโรงเรียนเดียวกัน เราเล่นฟุตบอลด้วยกันทุกบ่าย ทอมช่วยฉันทำการบ้านเสมอ เขาเก่งคณิตศาสตร์และวิทยาศาสตร์ ฉันเก่งภาษาอังกฤษ เราช่วยเหลือกันและกัน เราเป็นเพื่อนที่ดีกันมาก"
5,My Best Friend,My best friend's name is Tom. He is kind and funny. We go to the same school. We play football together every afternoon. Tom always helps me with my homework. He is good at math and science. I am good at English. We help each other. We are very good friends.,funny,adjective,ตลก,""
5,My Best Friend,My best friend's name is Tom. He is kind and funny. We go to the same school. We play football together every afternoon. Tom always helps me with my homework. He is good at math and science. I am good at English. We help each other. We are very good friends.,homework,noun,การบ้าน,""
6,My Daily Commute,I take the bus to work every morning. The bus is always crowded. I listen to music on my phone. It takes about 30 minutes to get to my office. I enjoy watching people on the bus. Some people read newspapers. Others sleep or talk on their phones.,commute,noun,การเดินทางไปทำงาน,"ฉันนั่งรถบัสไปทำงานทุกเช้า รถบัสแออัดเสมอ ฉันฟังเพลงบนโทรศัพท์ของฉัน ใช้เวลาประมาณ 30 นาทีเพื่อไปถึงที่ทำงาน ฉันสนุกกับการดูผู้คนบนรถบัส บางคนอ่านหนังสือพิมพ์ บางคนนอนหรือคุยโทรศัพท์"
6,My Daily Commute,I take the bus to work every morning. The bus is always crowded. I listen to music on my phone. It takes about 30 minutes to get to my office. I enjoy watching people on the bus. Some people read newspapers. Others sleep or talk on their phones.,crowded,adjective,แออัด,""
6,My Daily Commute,I take the bus to work every morning. The bus is always crowded. I listen to music on my phone. It takes about 30 minutes to get to my office. I enjoy watching people on the bus. Some people read newspapers. Others sleep or talk on their phones.,office,noun,ที่ทำงาน/สำนักงาน,""
7,Cooking Dinner,"I cook dinner for my family every evening. Tonight I am making fried rice. I chop onions and garlic first. Then I fry them in a pan. I add rice, eggs, and vegetables. My family loves my cooking. We eat together and talk about our day.",chop,verb,สับ/หั่น,"ฉันทำอาหารเย็นให้ครอบครัวทุกเย็น คืนนี้ฉันกำลังทำข้าวผัด ฉันหั่นหัวหอมและกระเทียมก่อน จากนั้นฉันทอดพวกเขาในกระทะ ฉันใส่ข้าว ไข่ และผัก ครอบครัวของฉันชอบอาหารที่ฉันทำ เรากินด้วยกันและพูดคุยเกี่ยวกับวันของเรา"
7,Cooking Dinner,"I cook dinner for my family every evening. Tonight I am making fried rice. I chop onions and garlic first. Then I fry them in a pan. I add rice, eggs, and vegetables. My family loves my cooking. We eat together and talk about our day.",fry,verb,ทอด/ผัด,""
7,Cooking Dinner,"I cook dinner for my family every evening. Tonight I am making fried rice. I chop onions and garlic first. Then I fry them in a pan. I add rice, eggs, and vegetables. My family loves my cooking. We eat together and talk about our day.",pan,noun,กระทะ,""
8,Weekend Plans,This weekend I will go to the beach. I want to swim in the sea. My friends will come with me. We will bring sandwiches and drinks. We will play volleyball on the sand. I am excited because I love the beach. The weather will be sunny and hot.,beach,noun,ชายหาด,"สุดสัปดาห์นี้ฉันจะไปชายหาด ฉันอยากว่ายน้ำในทะเล เพื่อนของฉันจะมาด้วย เราจะนำแซนด์วิชและเครื่องดื่ม เราจะเล่นวอลเลย์บอลบนทราย ฉันตื่นเต้นเพราะฉันรักชายหาด อากาศจะแจ่มใสและร้อน"
8,Weekend Plans,This weekend I will go to the beach. I want to swim in the sea. My friends will come with me. We will bring sandwiches and drinks. We will play volleyball on the sand. I am excited because I love the beach. The weather will be sunny and hot.,excited,adjective,ตื่นเต้น,""
8,Weekend Plans,This weekend I will go to the beach. I want to swim in the sea. My friends will come with me. We will bring sandwiches and drinks. We will play volleyball on the sand. I am excited because I love the beach. The weather will be sunny and hot.,volleyball,noun,วอลเลย์บอล,""
9,Going to the Gym,"I go to the gym three times a week. I exercise for one hour. I run on the treadmill and lift weights. Exercise makes me strong and healthy. After working out, I drink a protein shake. I feel energetic and happy. I want to be fit and active.",gym,noun,โรงยิม,"ฉันไปยิมสัปดาห์ละสามครั้ง ฉันออกกำลังกายเป็นเวลาหนึ่งชั่วโมง ฉันวิ่งบนลู่วิ่งและยกน้ำหนัก การออกกำลังกายทำให้ฉันแข็งแรงและมีสุขภาพดี หลังจากออกกำลังกาย ฉันดื่มโปรตีนเชค ฉันรู้สึกกระปรี้กระเปร่าและมีความสุข ฉันอยากฟิตและกระตือรือร้น"
9,Going to the Gym,"I go to the gym three times a week. I exercise for one hour. I run on the treadmill and lift weights. Exercise makes me strong and healthy. After working out, I drink a protein shake. I feel energetic and happy. I want to be fit and active.",treadmill,noun,ลู่วิ่งไฟฟ้า,""
9,Going to the Gym,"I go to the gym three times a week. I exercise for one hour. I run on the treadmill and lift weights. Exercise makes me strong and healthy. After working out, I drink a protein shake. I feel energetic and happy. I want to be fit and active.",healthy,adjective,แข็งแรง/มีสุขภาพดี,""
10,Watching a Movie,"Last night I watched a movie at home. It was a comedy film. The story was about a funny family. I laughed a lot during the movie. My sister watched with me. We ate popcorn and drank soda. After the movie, we talked about our favorite scenes.",comedy,noun,ภาพยนตร์ตลก,"เมื่อคืนฉันดูหนังที่บ้าน มันเป็นภาพยนตร์ตลก เรื่องราวเกี่ยวกับครอบครัวที่ตลก ฉันหัวเราะมากระหว่างดูหนัง น้องสาวของฉันดูด้วยกันกับฉัน เรากินป๊อปคอร์นและดื่มโซดา หลังจากหนังจบ เราคุยกันเกี่ยวกับฉากโปรดของเรา"
10,Watching a Movie,"Last night I watched a movie at home. It was a comedy film. The story was about a funny family. I laughed a lot during the movie. My sister watched with me. We ate popcorn and drank soda. After the movie, we talked about our favorite scenes.",popcorn,noun,ข้าวโพดคั่ว,""
10,Watching a Movie,"Last night I watched a movie at home. It was a comedy film. The story was about a funny family. I laughed a lot during the movie. My sister watched with me. We ate popcorn and drank soda. After the movie, we talked about our favorite scenes.",scene,noun,ฉาก,""
11,Morning Meeting,Every Monday we have a morning meeting at work. The manager talks about our goals for the week. Everyone shares their progress. I present my project to the team. My colleagues give me feedback. We discuss problems and find solutions. The meeting lasts about 30 minutes.,meeting,noun,การประชุม,"ทุกวันจันทร์เรามีการประชุมตอนเช้าที่ทำงาน ผู้จัดการพูดถึงเป้าหมายของเราสำหรับสัปดาห์นี้ ทุกคนแบ่งปันความคืบหน้าของพวกเขา ฉันนำเสนอโครงการของฉันต่อทีม เพื่อนร่วมงานของฉันให้ข้อเสนอแนะ เรา讨论ปัญหาและหาแนวทางแก้ไข การประชุมใช้เวลาประมาณ 30 นาที"
11,Morning Meeting,Every Monday we have a morning meeting at work. The manager talks about our goals for the week. Everyone shares their progress. I present my project to the team. My colleagues give me feedback. We discuss problems and find solutions. The meeting lasts about 30 minutes.,manager,noun,ผู้จัดการ,""
11,Morning Meeting,Every Monday we have a morning meeting at work. The manager talks about our goals for the week. Everyone shares their progress. I present my project to the team. My colleagues give me feedback. We discuss problems and find solutions. The meeting lasts about 30 minutes.,feedback,noun,คำติชม/ข้อเสนอแนะ,""
12,Writing Emails,I write many emails at work every day. I reply to customers and colleagues. I need to be clear and polite. I check my grammar before sending. Sometimes I attach documents or files. Email is important for communication. I always reply within 24 hours.,reply,verb,ตอบกลับ,"ฉันเขียนอีเมลจำนวนมากในที่ทำงานทุกวัน ฉันตอบกลับลูกค้าและเพื่อนร่วมงาน ฉันต้องชัดเจนและสุภาพ ฉันตรวจสอบไวยากรณ์ก่อนส่ง บางครั้งฉันแนบเอกสารหรือไฟล์ อีเมลสำคัญต่อการสื่อสาร ฉันตอบกลับภายใน 24 ชั่วโมงเสมอ"
12,Writing Emails,I write many emails at work every day. I reply to customers and colleagues. I need to be clear and polite. I check my grammar before sending. Sometimes I attach documents or files. Email is important for communication. I always reply within 24 hours.,attach,verb,แนบไฟล์,""
12,Writing Emails,I write many emails at work every day. I reply to customers and colleagues. I need to be clear and polite. I check my grammar before sending. Sometimes I attach documents or files. Email is important for communication. I always reply within 24 hours.,communication,noun,การสื่อสาร,""
13,Client Presentation,Today I have a presentation for a client. I prepared slides and data. My boss will come with me. The client wants to see our new product. I am nervous but confident. I practiced my speech many times. I hope the client likes our proposal.,presentation,noun,การนำเสนอ,"วันนี้ฉันมีการนำเสนอสำหรับลูกค้า ฉันเตรียมสไลด์และข้อมูล เจ้านายของฉันจะไปกับฉัน ลูกค้าต้องการเห็นผลิตภัณฑ์ใหม่ของเรา ฉันกังวลแต่มั่นใจ ฉันฝึกสุนทรพจน์หลายครั้ง ฉันหวังว่าลูกค้าจะชอบข้อเสนอของเรา"
13,Client Presentation,Today I have a presentation for a client. I prepared slides and data. My boss will come with me. The client wants to see our new product. I am nervous but confident. I practiced my speech many times. I hope the client likes our proposal.,client,noun,ลูกค้า,""
13,Client Presentation,Today I have a presentation for a client. I prepared slides and data. My boss will come with me. The client wants to see our new product. I am nervous but confident. I practiced my speech many times. I hope the client likes our proposal.,confident,adjective,มั่นใจ,""
14,Team Lunch,Our team goes for lunch together every Friday. We go to a restaurant near the office. We order different dishes and share. We talk about work and personal life. This is a good time to relax. We learn more about each other. It builds team spirit.,team,noun,ทีม,"ทีมของเราไปทานอาหารกลางวันด้วยกันทุกวันศุกร์ เราไปร้านอาหารใกล้ที่ทำงาน เราสั่งอาหารที่แตกต่างกันและแบ่งปันกัน เราพูดคุยเกี่ยวกับงานและชีวิตส่วนตัว นี่เป็นเวลาที่ดีในการผ่อนคลาย เราเรียนรู้เพิ่มเติมเกี่ยวกับกันและกัน มันสร้างจิตวิญญาณของทีม"
14,Team Lunch,Our team goes for lunch together every Friday. We go to a restaurant near the office. We order different dishes and share. We talk about work and personal life. This is a good time to relax. We learn more about each other. It builds team spirit.,relax,verb,ผ่อนคลาย,""
14,Team Lunch,Our team goes for lunch together every Friday. We go to a restaurant near the office. We order different dishes and share. We talk about work and personal life. This is a good time to relax. We learn more about each other. It builds team spirit.,spirit,noun,จิตวิญญาณ/น้ำใจ,""
15,Handling Complaints,Sometimes customers call with complaints. I listen carefully to their problems. I apologize and try to help. I offer solutions or refunds. Most customers are happy after I help them. This is a challenging part of my job. I need to be patient and kind.,complaint,noun,การร้องเรียน,"บางครั้งลูกค้าโทรมาพร้อมข้อร้องเรียน ฉันฟังปัญหาของพวกเขาอย่างตั้งใจ ฉันขอโทษและพยายามช่วย ฉันเสนอวิธีแก้ไขหรือคืนเงิน ลูกค้าส่วนใหญ่มีความสุขหลังจากฉันช่วยพวกเขา นี่เป็นส่วนที่ท้าทายของงานของฉัน ฉันต้องอดทนและใจดี"
15,Handling Complaints,Sometimes customers call with complaints. I listen carefully to their problems. I apologize and try to help. I offer solutions or refunds. Most customers are happy after I help them. This is a challenging part of my job. I need to be patient and kind.,apologize,verb,ขอโทษ,""
15,Handling Complaints,Sometimes customers call with complaints. I listen carefully to their problems. I apologize and try to help. I offer solutions or refunds. Most customers are happy after I help them. This is a challenging part of my job. I need to be patient and kind.,patient,adjective,อดทน,""
16,Deadline Pressure,"We have a deadline next week for our project. Everyone is working hard to finish. I work overtime to complete my tasks. The team coordinates closely. We check each other's work. It is stressful but we work together. Finally, we meet the deadline and celebrate.",deadline,noun,กำหนดส่ง,"เรามีกำหนดส่งในสัปดาห์หน้าสำหรับโครงการของเรา ทุกคนทำงานอย่างหนักเพื่อให้เสร็จ ฉันทำงานล่วงเวลาเพื่อทำงานให้เสร็จ ทีมประสานงานอย่างใกล้ชิด เราตรวจสอบงานของกันและกัน มันเครียดแต่เราทำงานร่วมกัน ในที่สุดเราก็ส่งงานตามกำหนดและฉลอง"
16,Deadline Pressure,"We have a deadline next week for our project. Everyone is working hard to finish. I work overtime to complete my tasks. The team coordinates closely. We check each other's work. It is stressful but we work together. Finally, we meet the deadline and celebrate.",overtime,noun,การทำงานล่วงเวลา,""
16,Deadline Pressure,"We have a deadline next week for our project. Everyone is working hard to finish. I work overtime to complete my tasks. The team coordinates closely. We check each other's work. It is stressful but we work together. Finally, we meet the deadline and celebrate.",stressful,adjective,เครียด,""
17,Job Interview,I have a job interview tomorrow. I prepare my resume and portfolio. I research the company. I practice answering common questions. I wear formal clothes. I want to make a good impression. I feel nervous but ready. I hope I get the job.,interview,noun,สัมภาษณ์งาน,"ฉันมีสัมภาษณ์งานพรุ่งนี้ ฉันเตรียมประวัติย่อและผลงาน ฉันค้นคว้าเกี่ยวกับบริษัท ฉันฝึกตอบคำถามทั่วไป ฉันใส่เสื้อผ้าสุภาพ ฉันต้องการสร้างความประทับใจที่ดี ฉันรู้สึกกังวลแต่พร้อม ฉันหวังว่าจะได้งาน"
17,Job Interview,I have a job interview tomorrow. I prepare my resume and portfolio. I research the company. I practice answering common questions. I wear formal clothes. I want to make a good impression. I feel nervous but ready. I hope I get the job.,resume,noun,ประวัติย่อ,""
17,Job Interview,I have a job interview tomorrow. I prepare my resume and portfolio. I research the company. I practice answering common questions. I wear formal clothes. I want to make a good impression. I feel nervous but ready. I hope I get the job.,impression,noun,ความประทับใจ,""
18,Office Renovation,Our office is getting renovated. The construction workers are painting the walls. They install new furniture and lights. There is dust and noise everywhere. We work from home this week. Next week the office will look modern and clean. Everyone is excited for the new look.,renovate,verb,ปรับปรุง/ซ่อมแซม,"ที่ทำงานของเรากำลังได้รับการปรับปรุง คนงานก่อสร้างกำลังทาสีผนัง พวกเขาติดตั้งเฟอร์นิเจอร์และไฟใหม่ มีฝุ่นและเสียงดัง everywhere สัปดาห์นี้เราทำงานที่บ้าน สัปดาห์หน้าสำนักงานจะดูทันสมัยและสะอาด ทุกคนตื่นเต้นกับรูปลักษณ์ใหม่"
18,Office Renovation,Our office is getting renovated. The construction workers are painting the walls. They install new furniture and lights. There is dust and noise everywhere. We work from home this week. Next week the office will look modern and clean. Everyone is excited for the new look.,install,verb,ติดตั้ง,""
18,Office Renovation,Our office is getting renovated. The construction workers are painting the walls. They install new furniture and lights. There is dust and noise everywhere. We work from home this week. Next week the office will look modern and clean. Everyone is excited for the new look.,modern,adjective,ทันสมัย,""
19,Salary Negotiation,"I asked my boss for a salary increase. I prepared my achievements and performance. I showed how I contributed to the company. My boss listened carefully. We discussed numbers and benefits. Finally, we agreed on a fair increase. I am happy with the result.",salary,noun,เงินเดือน,"ฉันขอขึ้นเงินเดือนจากเจ้านายของฉัน ฉันเตรียมความสำเร็จและผลงานของฉัน ฉันแสดงให้เห็นว่าฉันมีส่วนช่วยบริษัทอย่างไร เจ้านายของฉันฟังอย่างตั้งใจ เราคุยเรื่องตัวเลขและสวัสดิการ ในที่สุดเราตกลงกันเรื่องการขึ้นเงินเดือนที่เหมาะสม ฉันพอใจกับผลลัพธ์"
19,Salary Negotiation,"I asked my boss for a salary increase. I prepared my achievements and performance. I showed how I contributed to the company. My boss listened carefully. We discussed numbers and benefits. Finally, we agreed on a fair increase. I am happy with the result.",increase,noun,การเพิ่มขึ้น,""
19,Salary Negotiation,"I asked my boss for a salary increase. I prepared my achievements and performance. I showed how I contributed to the company. My boss listened carefully. We discussed numbers and benefits. Finally, we agreed on a fair increase. I am happy with the result.",achievement,noun,ความสำเร็จ,""
20,Business Trip,Next week I will go on a business trip to Singapore. I will meet partners and customers. I need to prepare my documents. I book a hotel and flight. I pack my luggage carefully. I will stay for three days. I am excited to visit a new country.,business trip,noun,การเดินทางไปราชการ,"สัปดาห์หน้าฉันจะไปเดินทางไปราชการที่สิงคโปร์ ฉันจะพบกับพันธมิตรและลูกค้า ฉันต้องเตรียมเอกสารของฉัน ฉันจองโรงแรมและเที่ยวบิน ฉันแพ็คกระเป๋าอย่างระมัดระวัง ฉันจะพักสามวัน ฉันตื่นเต้นที่จะได้ไปเยือนประเทศใหม่"
20,Business Trip,Next week I will go on a business trip to Singapore. I will meet partners and customers. I need to prepare my documents. I book a hotel and flight. I pack my luggage carefully. I will stay for three days. I am excited to visit a new country.,partners,noun,หุ้นส่วน,""
20,Business Trip,Next week I will go on a business trip to Singapore. I will meet partners and customers. I need to prepare my documents. I book a hotel and flight. I pack my luggage carefully. I will stay for three days. I am excited to visit a new country.,luggage,noun,กระเป๋าเดินทาง,""
21,At the Coffee Shop,I go to a coffee shop near my office every morning. I order a latte and a croissant. The barista knows me well. Sometimes I meet my friends there. We chat and enjoy our coffee. The coffee shop is cozy and comfortable. It is my favorite place to relax.,latte,noun,ลาเต้,"ฉันไปร้านกาแฟใกล้ที่ทำงานทุกเช้า ฉันสั่งลาเต้และครัวซองต์ บาริสต้ารู้จักฉันดี บางครั้งฉันเจอเพื่อนๆ ที่นั่น เราคุยกันและเพลิดเพลินกับกาแฟ ร้านกาแฟอบอุ่นและสะดวกสบาย มันเป็นสถานที่โปรดของฉันในการพักผ่อน"
21,At the Coffee Shop,I go to a coffee shop near my office every morning. I order a latte and a croissant. The barista knows me well. Sometimes I meet my friends there. We chat and enjoy our coffee. The coffee shop is cozy and comfortable. It is my favorite place to relax.,barista,noun,พนักงานชงกาแฟ,""
21,At the Coffee Shop,I go to a coffee shop near my office every morning. I order a latte and a croissant. The barista knows me well. Sometimes I meet my friends there. We chat and enjoy our coffee. The coffee shop is cozy and comfortable. It is my favorite place to relax.,cozy,adjective,อบอุ่น/สบาย,""
22,Visiting the Doctor,I feel sick today. I have a fever and a headache. I go to see the doctor. The doctor checks my temperature and throat. He says I have a cold. He gives me medicine and tells me to rest. I go home and sleep all day. I feel better tomorrow.,fever,noun,ไข้,"วันนี้ฉันรู้สึกไม่สบาย ฉันมีไข้และปวดหัว ฉันไปหาหมอ หมอตรวจอุณหภูมิและลำคอของฉัน เขาบอกว่าฉันเป็นหวัด เขาให้ยาและบอกให้ฉันพักผ่อน ฉันกลับบ้านและนอนทั้งวัน ฉันจะรู้สึกดีขึ้นพรุ่งนี้"
22,Visiting the Doctor,I feel sick today. I have a fever and a headache. I go to see the doctor. The doctor checks my temperature and throat. He says I have a cold. He gives me medicine and tells me to rest. I go home and sleep all day. I feel better tomorrow.,headache,noun,ปวดหัว,""
22,Visiting the Doctor,I feel sick today. I have a fever and a headache. I go to see the doctor. The doctor checks my temperature and throat. He says I have a cold. He gives me medicine and tells me to rest. I go home and sleep all day. I feel better tomorrow.,medicine,noun,ยา,""
23,Celebrating a Birthday,It is my mother's birthday today. We prepare a surprise party. I buy a cake and some flowers. My father cooks a special dinner. My sister decorates the house. We sing Happy Birthday and give gifts. My mother is very happy. She thanks everyone.,celebrate,verb,เฉลิมฉลอง,"วันนี้เป็นวันเกิดของแม่ฉัน เราเตรียมงานเซอร์ไพรส์ ฉันซื้อเค้กและดอกไม้ พ่อของฉันทำอาหารเย็นพิเศษ น้องสาวของฉันตกแต่งบ้าน เราร้องเพลง Happy Birthday และให้ของขวัญ แม่ของฉันมีความสุขมาก เธอขอบคุณทุกคน"
23,Celebrating a Birthday,It is my mother's birthday today. We prepare a surprise party. I buy a cake and some flowers. My father cooks a special dinner. My sister decorates the house. We sing Happy Birthday and give gifts. My mother is very happy. She thanks everyone.,surprise,noun,ความประหลาดใจ,""
23,Celebrating a Birthday,It is my mother's birthday today. We prepare a surprise party. I buy a cake and some flowers. My father cooks a special dinner. My sister decorates the house. We sing Happy Birthday and give gifts. My mother is very happy. She thanks everyone.,decorate,verb,ตกแต่ง,""
24,Shopping Online,I like to shop online for clothes. It is easy and convenient. I browse many websites. I compare prices and read reviews. I choose a jacket and a pair of jeans. I enter my address and pay with a credit card. The package arrives in three days. I love my new clothes.,browse,verb,เลือกชม/ค้นดู,"ฉันชอบช้อปปิ้งออนไลน์สำหรับเสื้อผ้า มันง่ายและสะดวก ฉันเรียกดูเว็บไซต์มากมาย ฉันเปรียบเทียบราคาและอ่านรีวิว ฉันเลือกแจ็คเก็ตและกางเกงยีนส์ ฉันป้อนที่อยู่และชำระเงินด้วยบัตรเครดิต พัสดุมาถึงในสามวัน ฉันรักเสื้อผ้าใหม่ของฉัน"
24,Shopping Online,I like to shop online for clothes. It is easy and convenient. I browse many websites. I compare prices and read reviews. I choose a jacket and a pair of jeans. I enter my address and pay with a credit card. The package arrives in three days. I love my new clothes.,compare,verb,เปรียบเทียบ,""
24,Shopping Online,I like to shop online for clothes. It is easy and convenient. I browse many websites. I compare prices and read reviews. I choose a jacket and a pair of jeans. I enter my address and pay with a credit card. The package arrives in three days. I love my new clothes.,package,noun,พัสดุ/บรรจุภัณฑ์,""
25,Family Gathering,Every Sunday my family has a gathering. My grandparents come to our house. We cook traditional dishes together. We share stories and memories. My uncle plays the guitar and we sing. The children play in the garden. We always enjoy this family time.,gathering,noun,การรวมตัวกัน,"ทุกวันอาทิตย์ครอบครัวของฉันมีการรวมตัวกัน คุณปู่คุณย่ามาที่บ้านของเรา เราทำอาหารพื้นเมืองด้วยกัน เราแบ่งปันเรื่องราวและความทรงจำ ลุงของฉันเล่นกีตาร์และเราร้องเพลง เด็กๆเล่นในสวน เราสนุกกับเวลาครอบครัวนี้เสมอ"
25,Family Gathering,Every Sunday my family has a gathering. My grandparents come to our house. We cook traditional dishes together. We share stories and memories. My uncle plays the guitar and we sing. The children play in the garden. We always enjoy this family time.,traditional,adjective,ดั้งเดิม/ประเพณี,""
25,Family Gathering,Every Sunday my family has a gathering. My grandparents come to our house. We cook traditional dishes together. We share stories and memories. My uncle plays the guitar and we sing. The children play in the garden. We always enjoy this family time.,memories,noun,ความทรงจำ,""
